frame,torso,joint_right_shoulder_pitch,joint_right_shoulder_roll,joint_right_arm_yaw,joint_right_elbow_pitch,joint_right_forearm_yaw,joint_right_wrist_pitch,joint_right_wrist_roll,hand_right_pinky,hand_right_ring,hand_right_middle,hand_right_index,hand_right_thumb,joint_left_shoulder_pitch,joint_left_shoulder_roll,joint_left_arm_yaw,joint_left_elbow_pitch,joint_left_forearm_yaw,joint_left_wrist_pitch,joint_left_wrist_roll,hand_left_pinky,hand_left_middle,hand_left_ring,hand_left_thumb,hand_left_index,joint_head_yaw,joint_head_pitch
49,0.0,27.07,-0.0,-0.0,80.0,-0.0,-16.76,0.0,90.0,90.0,90.0,0.0,0.0,27.07,-0.0,-0.0,80.0,0.0,1.25,0.0,90.0,90.0,90.0,42.07,-0.0,-0.0,-0.0
50,0.0,27.07,-0.0,-0.0,80.0,-0.0,-16.76,0.0,90.0,90.0,90.0,0.0,0.0,27.07,-0.0,-0.0,80.0,0.0,-1.24,-0.0,90.0,90.0,90.0,36.25,0.0,-0.0,-0.0
51,0.0,27.07,-0.0,-0.0,80.0,-0.0,-16.76,0.0,90.0,90.0,90.0,0.0,0.0,27.07,-0.0,-0.0,80.0,0.0,-3.68,-0.0,90.0,90.0,90.0,30.56,0.0,-0.0,-0.0
52,0.0,27.07,-0.0,-0.0,80.0,-0.0,-16.76,0.0,90.0,90.0,90.0,0.0,0.0,27.07,-0.0,-0.0,80.0,0.0,-6.02,0.0,90.0,90.0,90.0,25.09,-0.0,-0.0,-0.0
53,0.0,27.07,-0.0,-0.0,80.0,-0.0,-16.76,0.0,90.0,90.0,90.0,0.0,0.0,27.07,-0.0,-0.0,80.0,0.0,-8.22,-0.0,90.0,90.0,90.0,19.94,-0.0,-0.0,-0.0
54,0.0,27.07,-0.0,-0.0,80.0,-0.0,-16.76,0.0,90.0,90.0,90.0,0.0,0.0,27.07,-0.0,-0.0,80.0,0.0,-10.26,0.0,90.0,90.0,90.0,15.18,0.0,-0.0,-0.0
55,0.0,27.07,-0.0,-0.0,80.0,-0.0,-16.76,0.0,90.0,90.0,90.0,0.0,0.0,27.07,-0.0,-0.0,80.0,0.0,-12.09,0.0,90.0,90.0,90.0,10.91,0.0,-0.0,-0.0
56,0.0,27.07,-0.0,-0.0,80.0,-0.0,-16.76,0.0,90.0,90.0,90.0,0.0,0.0,27.07,-0.0,-0.0,80.0,0.0,-13.67,0.0,90.0,90.0,90.0,7.22,0.0,-0.0,-0.0
57,0.0,27.07,-0.0,-0.0,80.0,-0.0,-16.76,0.0,90.0,90.0,90.0,0.0,0.0,27.07,-0.0,-0.0,80.0,0.0,-14.96,-0.0,90.0,90.0,90.0,4.19,0.0,-0.0,-0.0
58,0.0,27.07,-0.0,-0.0,80.0,-0.0,-16.76,0.0,90.0,90.0,90.0,0.0,0.0,27.07,-0.0,-0.0,80.0,0.0,-15.93,0.0,90.0,90.0,90.0,1.92,0.0,-0.0,-0.0
59,0.0,27.07,-0.0,-0.0,80.0,-0.0,-16.76,0.0,90.0,90.0,90.0,0.0,0.0,27.07,-0.0,-0.0,80.0,0.0,-16.55,0.0,90.0,90.0,90.0,0.5,0.0,-0.0,-0.0
60,0.0,27.07,-0.0,-0.0,80.0,-0.0,-16.76,0.0,90.0,90.0,90.0,0.0,0.0,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
