frame,torso,joint_right_shoulder_pitch,joint_right_shoulder_roll,joint_right_arm_yaw,joint_right_elbow_pitch,joint_right_forearm_yaw,joint_right_wrist_pitch,joint_right_wrist_roll,hand_right_pinky,hand_right_ring,hand_right_middle,hand_right_index,hand_right_thumb,joint_left_shoulder_pitch,joint_left_shoulder_roll,joint_left_arm_yaw,joint_left_elbow_pitch,joint_left_forearm_yaw,joint_left_wrist_pitch,joint_left_wrist_roll,hand_left_pinky,hand_left_middle,hand_left_ring,hand_left_thumb,hand_left_index,joint_head_yaw,joint_head_pitch
44,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,27.29,31.77,36.92,41.49,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
45,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,28.85,33.33,38.31,42.51,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
46,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,30.38,34.84,39.6,43.37,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
47,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,31.88,36.28,40.78,44.06,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
48,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,33.33,37.64,41.83,44.58,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
49,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,34.74,38.92,42.76,44.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
50,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,36.08,40.1,43.54,45.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
51,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,37.36,41.17,44.16,45.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
52,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,38.56,42.13,44.62,45.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
53,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,39.69,42.97,44.9,45.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
