frame,torso,joint_right_shoulder_pitch,joint_right_shoulder_roll,joint_right_arm_yaw,joint_right_elbow_pitch,joint_right_forearm_yaw,joint_right_wrist_pitch,joint_right_wrist_roll,hand_right_pinky,hand_right_ring,hand_right_middle,hand_right_index,hand_right_thumb,joint_left_shoulder_pitch,joint_left_shoulder_roll,joint_left_arm_yaw,joint_left_elbow_pitch,joint_left_forearm_yaw,joint_left_wrist_pitch,joint_left_wrist_roll,hand_left_pinky,hand_left_middle,hand_left_ring,hand_left_thumb,hand_left_index,joint_head_yaw,joint_head_pitch
63,0.0,17.34,13.01,17.34,60.7,60.7,0.0,17.34,-0.0,-0.0,0.0,0.0,0.0,17.34,13.01,17.34,60.7,60.7,-0.0,17.34,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
64,0.0,16.71,12.53,16.71,58.49,58.49,0.0,16.71,-0.0,-0.0,0.0,0.0,-0.0,16.71,12.53,16.71,58.49,58.49,0.0,16.71,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
65,0.0,16.03,12.03,16.03,56.12,56.12,0.0,16.03,-0.0,-0.0,0.0,0.0,0.0,16.03,12.03,16.03,56.12,56.12,0.0,16.03,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
66,0.0,15.32,11.49,15.32,53.6,53.6,-0.0,15.32,-0.0,-0.0,-0.0,-0.0,0.0,15.32,11.49,15.32,53.6,53.6,-0.0,15.32,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
67,0.0,14.56,10.92,14.56,50.96,50.96,0.0,14.56,0.0,0.0,0.0,0.0,0.0,14.56,10.92,14.56,50.96,50.96,-0.0,14.56,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
68,0.0,13.77,10.33,13.77,48.2,48.2,0.0,13.77,-0.0,-0.0,-0.0,-0.0,0.0,13.77,10.33,13.77,48.2,48.2,0.0,13.77,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
69,0.0,12.96,9.72,12.96,45.36,45.36,-0.0,12.96,0.0,0.0,0.0,0.0,0.0,12.96,9.72,12.96,45.36,45.36,0.0,12.96,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
70,0.0,12.13,9.1,12.13,42.45,42.45,0.0,12.13,-0.0,-0.0,-0.0,-0.0,-0.0,12.13,9.1,12.13,42.45,42.45,-0.0,12.13,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
71,0.0,11.28,8.46,11.28,39.49,39.49,0.0,11.28,0.0,0.0,0.0,0.0,0.0,11.28,8.46,11.28,39.49,39.49,-0.0,11.28,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
72,0.0,10.43,7.82,10.43,36.5,36.5,-0.0,10.43,0.0,0.0,0.0,0.0,0.0,10.43,7.82,10.43,36.5,36.5,-0.0,10.43,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
73,0.0,9.57,7.18,9.57,33.5,33.5,-0.0,9.57,-0.0,-0.0,-0.0,-0.0,-0.0,9.57,7.18,9.57,33.5,33.5,0.0,9.57,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
